Analyte1_Sensor1,Analyte1_Sensor2,Analyte1_Sensor3,Analyte2_sensor1,Analyte2_sensor2,Analyte2_sensor3,Analyte3_Sensor1,Analyte3_Sensor2,Analyte3_Sensor3,Label
1.0,1.0000000000000002,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1
0.7608845888044229,0.848995111352526,0.8357751841734955,0.0,0.0,0.0,0.0,0.0,0.0,1
0.7240843123704216,0.419205191068309,0.47951328532406257,0.0,0.0,0.0,0.0,0.0,0.0,1
0.6596406357982031,0.3435265792680242,0.3676020197003559,0.0,0.0,0.0,0.0,0.0,0.0,1
0.6378714581893572,0.33677349266702883,0.3402036255276881,0.0,0.0,0.0,0.0,0.0,0.0,1
0.6182964754664823,0.32943318114420783,0.3070937836271832,0.0,0.0,0.0,0.0,0.0,0.0,1
0.5926053904630268,0.29544753879354646,0.2654581574372982,0.0,0.0,0.0,0.0,0.0,0.0,1
0.477107809260539,0.21962212076280524,0.11547057362801094,0.0,0.0,0.0,0.0,0.0,0.0,1
0.2898237733241189,0.10959085103571797,0.03286151808625115,0.0,0.0,0.0,0.0,0.0,0.0,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
0.0,0.0,0.0,0.9999999999999998,1.0,1.0,0.0,0.0,0.0,2
0.0,0.0,0.0,0.20134573150787327,0.7821015689512799,0.9462066009429919,0.0,0.0,0.0,2
0.0,0.0,0.0,0.0,0.6567919075144508,0.7987110403527035,0.0,0.0,0.0,2
0.0,0.0,0.0,0.1009765898789774,0.10322047894302232,0.4925448533463964,0.0,0.0,0.0,2
0.0,0.0,0.0,0.17559927106209972,0.05161023947151115,0.3703845447308799,0.0,0.0,0.0,2
0.0,0.0,0.0,0.21666744544647432,0.0,0.35913293735839813,0.0,0.0,0.0,2
0.0,0.0,0.0,0.20265408158497245,0.02064409578860446,0.32821015247076113,0.0,0.0,0.0,2
0.0,0.0,0.0,0.6427737021634501,0.03096614368290669,0.3097636397036311,0.0,0.0,0.0,2
0.0,0.0,0.0,0.7519742068127656,0.3324009083402148,0.2616955483436409,0.0,0.0,0.0,2
0.0,0.0,0.0,0.7821597121629829,0.4367258464079274,0.0,0.0,0.0,0.0,2
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3
0.0,0.0,0.0,0.0,0.0,0.0,0.3383735705209655,0.49178332318928786,0.8319623971797885,3
0.0,0.0,0.0,0.0,0.0,0.0,0.6772669515998614,0.28788800973828366,0.5636897767332549,3
0.0,0.0,0.0,0.0,0.0,0.0,0.9358091717685112,0.20572124163116268,0.5475910693301997,3
0.0,0.0,0.0,0.0,0.0,0.0,0.9701975280120131,0.1479001825928179,0.18566392479435953,3
0.0,0.0,0.0,0.0,0.0,0.0,0.9713526625851913,0.08399269628727968,0.06574618096357221,3
0.0,0.0,0.0,0.0,0.0,0.0,0.9743560124754532,0.0474741326841146,0.07761457109283193,3
0.0,0.0,0.0,0.0,0.0,0.0,0.9768973085364444,0.03834449178332333,0.07761457109283193,3
0.0,0.0,0.0,0.0,0.0,0.0,0.9960378884140003,0.023128423615337734,0.06721504112808457,3
0.0,0.0,0.0,0.0,0.0,0.0,0.9999999999999999,0.0,0.0,3
