CFU/mL,PC1,PC2_Analyte1,PC2_Analyte2,PC2_Analyte3
800.0,52.05483307859117,,,260.9561201342733
490.0,371.2789611922783,,-87.75927709782701,
3050.0,-182.66058465268463,-85.78530718013032,,
30556.04118861206,-84.67021560100613,,,197.30174825619108
0.0,464.6279540847297,,-128.0580624783114,
38148.562388848906,-93.12686763880549,,,195.10946026375692
329549.1953043724,-235.7378199641302,-96.65811261013016,,
48585266.5503143,178.09052501969768,,-0.21821926656377855,
305000.0,-234.9312467052144,-93.24456569571633,,
1.0,428.04504973006783,,34.59891380960204,
80.0,-142.05221897358524,-78.48537342826563,,
48933670.71017869,179.43683018239756,,-5.593762898303353,
30684463.343133934,-291.3994621867172,-101.30020993798635,,
4920.0,343.27440287734134,,-105.34129279778293,
335166.6920735188,297.4014156781475,,-173.87260054140438,
60.0,152.15585922745458,,,288.84140427779676
30291286.90646695,-291.2689562085093,-101.18370181730003,,
2894954.4940532264,-247.66584763938715,,,88.87932083499967
288000.0,-165.7696219290018,,,144.9239438009894
2880.0,0.20443627890540483,,,243.10299143374309
49044581.419501245,178.8491423519215,,-3.481277812004393,
324879.1482733022,-235.69840533892216,-96.19476006609007,,
2695592.7048568274,-258.5747609419027,-112.89894680485375,,
28800.0,-82.51420706486135,,,198.37122005015854
4980412.217611824,250.6955860534158,,-147.32877843048854,
49200000.0,178.63885136718943,,-2.8506639763513846,
4429594.436841236,252.05936661786416,,-146.18756292397288,
160.0,114.80310454604921,,,278.4221990674499
4303973.843162411,253.1365939130876,,-148.82395527341117,
3227476.74352717,-260.5096261716636,-113.3337576441395,,
1.0,427.06390254891016,,30.61605239255954,
135412.95350011796,-226.34029317831664,-93.56479057409763,,
700.0,-166.11253952228253,-83.326956805272,,
40.0,382.17671365352726,,4.449109679090824,
307452.0804862558,-168.51383602525823,,,145.23279326961094
4917315.128981112,250.38476019310292,,-145.5246782130435,
30356066.28484008,-291.22910299896114,-101.30212326649247,,
2882822.168529236,-247.5256732703453,,,89.34316522359182
20.0,194.20513216268898,,,300.20730807027076
5043309.206599923,250.2156212274159,,-146.13781276993274,
40376.2137451594,-95.35615955826916,,,194.7311205030554
3036921.674397244,-259.8738805965264,-113.33158192211019,,
644155.5325713719,288.29670191993205,,-174.1854047898192,
274574.2547322999,-163.80874793328542,,,144.87578353089995
4920000.0,250.64888926049173,,-146.47571281370023,
3050000.0,-259.7890440243915,-113.7387148353168,,
2843404.369240924,-246.77042475538002,,,88.24904895928668
49186920.39333353,178.9444691390953,,-3.9817978053760044,
49200.0,316.2644508708104,,-129.9275081257115,
1.0,308.72551744730595,,,332.13256774784077
1.0,-78.42218082923262,-117.0697025171321,,
279328.569773039,-164.39315758740884,,,144.32128815838436
1.0,309.2623139801134,,,332.9724705655458
30500.0,-208.16042175673402,-90.31455241139115,,
0.0,311.32079887922,,,301.367713178263
40830.97717635731,-95.90961781012629,,,194.72843798175106
2911271.86896832,-247.83258751637766,,,88.73157937116545
19433.418743807648,-205.49839961675548,-88.03623544923002,,
1.0,-86.11716187495426,-90.47043091075653,,
280744.97025500995,-164.87396937133303,,,145.35289377014826
30774305.31316802,-291.5081716929007,-100.96872050522686,,
49954514.14071549,178.67307556019114,,-3.694984260583226,
10.0,-115.94200770410907,-81.51490512761998,,
492000.0,292.1164404909059,,-174.29599460211446,
30500000.0,-291.3520531088164,-101.10477119236573,,
2868522.534712504,-247.27759367835176,,,88.76505238343515
1124994.0133117193,280.5273615182192,,-174.6727231669302,
2880000.0,-247.45359129334548,,,89.10876808017287
416345.7451870226,-238.35066204289433,-96.94171607574327,,
3094890.5075906552,-259.9309443363211,-113.77938060019451,,
30413290.450284377,-291.273804834211,-101.62238847032658,,
328758.8362698939,-170.90517955778557,,,143.67113967892217
180.0,385.57536268046124,,-87.52330871910308,
301670.69739562995,298.7983127638945,,-173.49535652507137,
3331523.0846185824,-260.85168900436094,-113.76117333726383,,
