Sensor1,Sensor2,Sensor3,Dilution,Label
-68.02,70.734,52.47,0.1,A1
-95.7,50.162,32.63,0.01,A1
-99.96,-8.39,-10.41,0.001,A1
-107.42,-18.7,-23.93,0.0001,A1
-109.94,-19.62,-27.24,1e-05,A1
-112.206,-20.62,-31.24,1e-06,A1
-115.18,-25.25,-36.27,1e-07,A1
-128.55,-35.58,-54.39,1e-08,A1
-150.23,-50.57,-64.37,1e-09,A1
-183.78,-65.5,-68.34,1e-10,A1
-84.64,99.88,61.648,0.1,A2
-255.56,78.77,54.62,0.01,A2
-298.65,66.63,35.35,0.001,A2
-277.04,13.0,-4.65,0.0001,A2
-261.07,8.0,-20.61,1e-05,A2
-252.281,3.0,-22.08,1e-06,A2
-255.28,5.0,-26.12,1e-07,A2
-161.09,6.0,-28.53,1e-08,A2
-137.72,35.203,-34.81,1e-09,A2
-131.26,45.31,-69.0,1e-10,A2
80.43,-36.7,102.4,0.1,A3
109.723,-53.4,73.8,0.01,A3
139.061,-60.1,28.14,0.001,A3
161.443,-62.8,25.4,0.0001,A3
164.42,-64.7,-36.2,1e-05,A3
164.52,-66.8,-56.61,1e-06,A3
164.78,-68.0,-54.59,1e-07,A3
165.0,-68.3,-54.59,1e-08,A3
166.657,-68.8,-56.36,1e-09,A3
167.0,-69.56,-67.8,1e-10,A3
194.0,159.64,157.0,0.1,Mix
166.0,120.78,143.0,0.01,Mix
162.0,110.6,110.0,0.001,Mix
160.0,103.806,114.9,0.0001,Mix
159.0,103.124,143.0,1e-05,Mix
157.0,98.77,143.0,1e-06,Mix
150.0,93.63,156.0,1e-07,Mix
143.0,87.31,155.0,1e-08,Mix
141.0,81.88,160.0,1e-09,Mix
191.0,82.7,165.0,1e-10,Mix
